ID,HostHaloID,HostMtot(Msun),Mstar(Msun)
595219,584230,5431687970000.0,103564771000.0
1239969,1205243,11185826800000.0,117840118000.0
1319735,1281518,5450930670000.0,105954083000.0
1352107,1312506,9791789740000.0,131468878000.0
1395102,1353379,8856337290000.0,100719247000.0
1417265,1374809,10907228600000.0,156996223000.0
1434789,1391639,45406130900000.0,120311472000.0
1646972,1593509,43090297200000.0,430417248000.0
1760570,1701763,7664841090000.0,146689425000.0
1770607,1711362,5520050030000.0,106019324000.0
1881112,1817302,6748790160000.0,115581313000.0
1997534,1928353,16560971800000.0,154024591000.0
2068321,1995991,14644211900000.0,107414749000.0
2140550,2065016,18270216300000.0,155989164000.0
2488039,2396218,28512064900000.0,115839640000.0
2780312,2676058,4478661020000.0,100269941000.0
2867077,2758960,12427583300000.0,165052875000.0
2935837,2824712,4498304820000.0,106492068000.0
3305771,3178107,136538908000000.0,741459034000.0
3350358,3220362,16572226000000.0,109751681000.0
3492030,3355500,56398488700000.0,160896647000.0
3710378,3563976,6404979740000.0,108838830000.0
4058619,3895558,7639341590000.0,122059547000.0
4094370,3929767,95018571800000.0,128270442000.0
4294407,4120000,7374752920000.0,124743819000.0
4407022,4227500,8182110030000.0,118133703000.0
4495505,4312115,19332467200000.0,237241647000.0
4859453,4658827,11471852300000.0,152050369000.0
4880976,4679311,12733863000000.0,155764507000.0
5079867,4868646,7956171510000.0,132458373000.0
5253467,5033760,56122811600000.0,137804775000.0
5567149,5332403,209713177000000.0,197217026000.0
5590769,5354864,41825410700000.0,429863928000.0
5594595,5358495,128697397000000.0,135910875000.0
5662615,5423003,12419659000000.0,165115953000.0
5683523,5443186,6408438900000.0,101826281000.0
5778815,5533424,10188368400000.0,152627773000.0
6148527,5884858,215332886000000.0,113163575000.0
6251865,5982880,7418923080000.0,114798133000.0
6346297,6073177,12339391300000.0,173468615000.0
6624787,6338931,7792214600000.0,143891612000.0
6702467,6413009,6614462500000.0,135408763000.0
6757931,6465529,9417664100000.0,148204061000.0
6940158,6639175,6393599480000.0,134150218000.0
7037703,6732705,85796294800000.0,181727904000.0
7142732,6833163,10552686500000.0,150489940000.0
7193174,6880246,43079981100000.0,318707499000.0
7197388,6884029,8131008070000.0,139036836000.0
7222267,6906599,16134427400000.0,105203761000.0
7223283,6907470,132039812000000.0,107846935000.0
7433095,7098668,16486763000000.0,189741203000.0
7535522,7190558,14668948400000.0,188743877000.0
7624317,7265701,311450043000000.0,120825029000.0
7628354,7265712,408936552000000.0,371106349000.0
